State,Stateabbr,Metro,MetroSize,Numberinhousehold,Poverty,Disability,Lunch,FoodStamps,IncomeScale,Unemployment,Welfare,WIC,SocialSec,SupSocialSec,TotalIncome,Minor,Vet
1,AL,0,0,1,1,0,0,1,4,0,0,0,1,0,7604,0,0
1,AL,0,0,1,0,0,0,0,28,0,0,0,1,0,68680,0,0
1,AL,0,0,1,0,0,0,0,37,0,0,0,0,0,90750,0,0
1,AL,0,0,1,0,0,0,0,37,0,0,0,1,0,92402,0,0
1,AL,0,0,1,0,0,0,0,6,0,0,0,1,0,13735,0,0
1,AL,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1,AL,0,0,1,0,0,0,0,22,0,0,0,1,0,54450,0,0
1,AL,0,0,1,0,0,0,0,13,0,0,0,0,0,32000,0,0
1,AL,0,0,1,0,0,0,0,9,0,0,0,0,0,22000,0,0
1,AL,0,0,1,0,0,0,0,13,0,0,0,0,0,30025,0,0
1,AL,0,0,1,1,0,0,0,4,0,0,0,1,0,7735,0,0
1,AL,0,0,2,0,0,0,0,31,0,0,0,1,0,77105,0,0
1,AL,0,0,2,0,0,0,0,41,1,0,0,0,0,159000,0,0
1,AL,0,0,2,0,0,1,1,10,0,0,0,1,0,22607,0,0
1,AL,0,0,2,0,0,0,0,24,0,0,0,1,0,57727,0,1
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,178007,0,0
1,AL,0,0,2,0,0,0,0,8,1,0,0,0,0,18496,1,0
1,AL,0,0,2,0,0,0,0,20,0,0,0,0,0,49022,0,0
1,AL,0,0,2,0,0,0,0,36,0,0,0,0,0,89111,0,0
1,AL,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1,AL,0,0,2,1,0,0,0,1,0,0,0,1,0,781,0,0
1,AL,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1,AL,0,0,2,0,0,0,0,8,0,0,0,1,0,18230,0,0
1,AL,0,0,2,0,0,0,0,31,0,0,0,0,0,75000,0,0
1,AL,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1,AL,0,0,2,1,0,0,0,1,0,0,0,1,0,216,0,0
1,AL,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1,AL,0,0,2,0,0,0,0,11,0,0,0,1,0,27001,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,114500,0,0
1,AL,0,0,2,0,0,0,0,11,0,0,0,0,0,25000,0,0
1,AL,0,0,2,1,0,0,0,1,0,0,0,1,0,1142,0,0
1,AL,0,0,2,0,0,0,0,10,0,0,0,1,0,23595,0,0
1,AL,0,0,2,1,0,0,0,1,0,0,0,1,1,1512,0,0
1,AL,0,0,2,0,0,0,0,29,0,0,0,0,0,70000,0,0
1,AL,0,0,2,1,1,0,0,4,0,0,0,0,0,8604,0,0
1,AL,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1,AL,0,0,2,0,0,1,0,21,0,0,0,0,0,50000,1,0
1,AL,0,0,2,1,0,0,0,6,0,0,0,1,1,12751,0,0
1,AL,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
